Risk ID,Risk Description,Initial risk,Likelihood,Likely Initial Risk,Schedule Impact?,Residual risk,Likelihood,Likely Residual Risk ,Cost of Measures,crystallization_phase,phase_weight_distribution
24,Lack Of Experience,"7,700,000 CHF",30.00%,"2,310,000 CHF",No,"7,700,000 CHF",15.00%,"1,155,000 CHF","850,000 CHF",COMM,"{""ENG"": 0.2, ""PROC"": 0.2,""FAB"" : 0.2, ""CONS"":0.2, ""COMM"":0.2}"
25,Plant Layout ,"528,000 CHF",50.00%,"264,000 CHF",Yes ,"528,000 CHF",10.00%,"52,800 CHF",0 CHF,ENG,
26,RAM Analysis,"70,500 CHF",50.00%,"35,250 CHF",Yes ,"70,500 CHF",5.00%,"3,525 CHF",0 CHF,PROC,
27,Pipe 3D Model,"38,000 CHF",20.00%,"7,600 CHF",No,"38,000 CHF",0.00%,0 CHF,0 CHF,ENG,
28,DCR,"1,000,000 CHF",15.00%,"150,000 CHF",No,"1,000,000 CHF",15.00%,"150,000 CHF",0 CHF,PROC,"{""ENG"": 0.4, ""PROC"": 0.4, ""FAB"" : 0.1, ""CONS"":0.1}"
29,Space for novel Equipment,"570,000 CHF",20.00%,"114,000 CHF",Yes ,"570,000 CHF",10.00%,"57,000 CHF",0 CHF,FAB,
30,Overall design Concept,"-3,150,000 CHF",25.00%,"-787,500 CHF",Yes ,"-3,150,000 CHF",50.00%,"-1,575,000 CHF","200,000 CHF",PROC,
31,ATEX,"1,000,000 CHF",20.00%,"200,000 CHF",No,"1,000,000 CHF",10.00%,"100,000 CHF",0 CHF,PROC,
32,Tie-in with ERF,"6,420,000 CHF",5%,"321,000 CHF",Yes ,"6,420,000 CHF",3%,"160,500 CHF","15,000 CHF",CONS,"{""ENG"": 0.2,""FAB"": 0.2, ""CONS"": 0.6 }"
33,Procurement New Technology,"10,000,000 CHF",50.00%,"5,000,000 CHF",Yes ,"10,000,000 CHF",20.00%,"2,000,000 CHF","280,000 CHF",FAB,
34,Increase of Procurement cost and CORs during execution main Lots,"10,000,000 CHF",20.00%,"2,000,000 CHF",Yes ,"10,000,000 CHF",15.00%,"1,500,000 CHF",0 CHF,PROC,
35,New Deliveries and Oversized Transport/Logistics,"800,000 CHF",30.00%,"240,000 CHF",Yes ,"500,000 CHF",15.00%,"75,000 CHF","70,000 CHF",FAB,
36,Russian war conflict,"15,000,000 CHF",5.00%,"750,000 CHF",Yes ,"15,000,000 CHF",2.00%,"300,000 CHF","100,000 CHF",ENG,
37,T&C for Supplier,"10,000,000 CHF",15.00%,"1,500,000 CHF",No,"10,000,000 CHF",1.00%,"100,000 CHF",0 CHF,PROC,
38,"""Unusual"" supply chain","13,000,000 CHF",15.00%,"1,950,000 CHF",Yes ,"13,000,000 CHF",10.00%,"1,300,000 CHF",0 CHF,FAB,
39,Big Colum Transportation,"50,000 CHF",20.00%,"10,000 CHF",Yes ,"50,000 CHF",0.00%,0 CHF,0 CHF,FAB,
40,Pre Qualified Bidders,"5,000,000 CHF",20.00%,"1,000,000 CHF",Yes ,"5,000,000 CHF",20.00%,"1,000,000 CHF",0 CHF,PROC,
41,Shutdown ,"2,000,000 CHF",50.00%,"1,000,000 CHF",Yes ,"2,000,000 CHF",25.00%,"500,000 CHF","380,000 CHF",CONS,
42,Modularization ,"2,000,000 CHF",30.00%,"600,000 CHF",Yes ,"2,000,000 CHF",10.00%,"200,000 CHF","200,000 CHF",CONS,
43,Commissioning ,"1,650,000 CHF",75.00%,"1,237,500 CHF",Yes ,"1,650,000 CHF",30.00%,"495,000 CHF","600,000 CHF",COMM,
44,Interface with ERF Operation,"2,000,000 CHF",15.00%,"300,000 CHF",Yes ,"1,000,000 CHF",10.00%,"100,000 CHF",0 CHF,CONS,
45,Site arrangement,"3,210,000 CHF",10%,"321,000 CHF",Yes ,"3,210,000 CHF",3%,"80,250 CHF","20,000 CHF",CONS,
46,Extreme Weather Conditions,"450,000 CHF",30.00%,"135,000 CHF",Yes ,"450,000 CHF",30.00%,"135,000 CHF",0 CHF,CONS,
47,Absorber Installation ,"2,000,000 CHF",25.00%,"500,000 CHF",Yes ,"2,000,000 CHF",5.00%,"100,000 CHF","250,000 CHF",CONS,
48,Storage limitation at site,"1,000,000 CHF",70.00%,"700,000 CHF",Yes ,"1,000,000 CHF",0.00%,0 CHF,"200,000 CHF",CONS,
49,Union and Authorities in the Area,"2,000,000 CHF",15.00%,"300,000 CHF",Yes ,"2,000,000 CHF",5.00%,"100,000 CHF","100,000 CHF",CONS,
50,Ground Condition,"2,000,000 CHF",50.00%,"1,000,000 CHF",Yes ,"500,000 CHF",5.00%,"25,000 CHF","280,000 CHF",CONS,
51,Excessive Snagging Items,"500,000 CHF",30.00%,"150,000 CHF",Yes ,"500,000 CHF",15.00%,"75,000 CHF","20,000 CHF",COMM,
52,Process Safety,"10,000,000 CHF",99.00%,"9,900,000 CHF",Yes ,"1,000,000 CHF",99.00%,"990,000 CHF","500,000 CHF",ENG,
